model,seed,task,family,race,pair,r
olmo2,0,medical_advice,dialog,black,CAD|PRISM,0.9871548013499724
olmo2,0,medical_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9927267524288544
olmo2,0,medical_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9952284381907436
olmo2,0,medical_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9950836759447628
olmo2,0,medical_advice,dialog,white,CAD|PRISM,0.988491002935483
olmo2,0,legal_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9962662436934515
olmo2,0,legal_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9959540149561968
olmo2,0,legal_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9988063610198906
olmo2,0,legal_advice,dialog,black,CAD|PRISM,0.9767542152399603
olmo2,0,legal_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9928091447802907
olmo2,0,legal_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9978979921713442
olmo2,0,legal_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9922605350755455
olmo2,0,legal_advice,dialog,white,CAD|PRISM,0.9853363087650346
olmo2,0,salary_rec,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9935240011608749
olmo2,0,salary_rec,name,black,name_specific_rosenman|name_specific_tzioumis,0.9927116529601145
olmo2,0,salary_rec,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9974482092703906
olmo2,0,salary_rec,dialog,black,CAD|PRISM,0.9571447417341732
olmo2,0,salary_rec,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9784342557632949
olmo2,0,salary_rec,name,white,name_specific_rosenman|name_specific_tzioumis,0.9937756279357348
olmo2,0,salary_rec,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9888443014520333
olmo2,0,salary_rec,dialog,white,CAD|PRISM,0.9687677993679865
olmo2,0,ALL,ALL,ALL,AGG,0.9898020344791663
olmo2,1,medical_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9948808423044951
olmo2,1,medical_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9956718448123721
olmo2,1,medical_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9991831038585576
olmo2,1,medical_advice,dialog,black,CAD|PRISM,0.9569371449832249
olmo2,1,medical_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9945338692545967
olmo2,1,medical_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9966105045638358
olmo2,1,medical_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9936040833750415
olmo2,1,medical_advice,dialog,white,CAD|PRISM,0.969826309678874
olmo2,1,legal_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9984731439848271
olmo2,1,legal_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9977618831007038
olmo2,1,legal_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.999667135194035
olmo2,1,legal_advice,dialog,black,CAD|PRISM,0.947456669071603
olmo2,1,legal_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9985077828346628
olmo2,1,legal_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9992171744234345
olmo2,1,legal_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9979082299257536
olmo2,1,legal_advice,dialog,white,CAD|PRISM,0.9603764578739632
olmo2,1,salary_rec,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9912075556746045
olmo2,1,salary_rec,name,black,name_specific_rosenman|name_specific_tzioumis,0.9919399344711689
olmo2,1,salary_rec,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9986297410470997
olmo2,1,salary_rec,dialog,black,CAD|PRISM,0.9336425132678058
olmo2,1,salary_rec,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9886369625294915
olmo2,1,salary_rec,name,white,name_specific_rosenman|name_specific_tzioumis,0.9954748078590968
olmo2,1,salary_rec,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9941649944825436
olmo2,1,salary_rec,dialog,white,CAD|PRISM,0.9544880120074214
olmo2,1,ALL,ALL,ALL,AGG,0.9853666958574673
olmo2,2,medical_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9956785095714402
olmo2,2,medical_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9982828334557414
olmo2,2,medical_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9978805108795542
olmo2,2,medical_advice,dialog,black,CAD|PRISM,0.9911027643039653
olmo2,2,medical_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9918326188287169
olmo2,2,medical_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9955090176209369
olmo2,2,medical_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9973107075352393
olmo2,2,medical_advice,dialog,white,CAD|PRISM,0.9917125816252641
olmo2,2,legal_advice,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9961228203604898
olmo2,2,legal_advice,name,black,name_specific_rosenman|name_specific_tzioumis,0.9949112465027461
olmo2,2,legal_advice,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9981954220664992
olmo2,2,legal_advice,dialog,black,CAD|PRISM,0.9857987384250683
olmo2,2,legal_advice,name,white,name_specific_rosenman|name_specific_hayes_elder,0.988644141886537
olmo2,2,legal_advice,name,white,name_specific_rosenman|name_specific_tzioumis,0.9972294603540722
olmo2,2,legal_advice,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9873034942898669
olmo2,2,legal_advice,dialog,white,CAD|PRISM,0.9894784969588976
olmo2,2,salary_rec,name,black,name_specific_rosenman|name_specific_hayes_elder,0.9892632117966734
olmo2,2,salary_rec,name,black,name_specific_rosenman|name_specific_tzioumis,0.9904045512167955
olmo2,2,salary_rec,name,black,name_specific_hayes_elder|name_specific_tzioumis,0.9975372209476255
olmo2,2,salary_rec,dialog,black,CAD|PRISM,0.9619536240337173
olmo2,2,salary_rec,name,white,name_specific_rosenman|name_specific_hayes_elder,0.9604216487879325
olmo2,2,salary_rec,name,white,name_specific_rosenman|name_specific_tzioumis,0.9956950487828988
olmo2,2,salary_rec,name,white,name_specific_hayes_elder|name_specific_tzioumis,0.9705419653300943
olmo2,2,salary_rec,dialog,white,CAD|PRISM,0.9674716220824919
olmo2,2,ALL,ALL,ALL,AGG,0.9887617607351361
